time,open,high,low,close,MA №1,MA №2,MA №3,MA №4,Volume,Volume MA,Plot,Shapes,RSI,MF
1545004800,3229.22,3585,3216,3509.08,3399.642739036937,3892.0507602009884,4869.670800000002,6278.5563500000035,66761.751697,52023.19007550004,-421.394582142854,0,37.61392214979896,-0.09800257978985093
1545091200,3509.03,3678.59,3424.47,3652.98,3450.3101912295497,3874.341815000915,4815.8404,6259.2162000000035,61369.615257,50492.49244090003,-323.89348571428263,0,42.54912607930898,-0.09814521458290482
1545177600,3653,3912.73,3622.55,3662.22,3492.6921529836395,3858.6290879638104,4762.467400000001,6239.327150000003,94137.341014,51500.34955815003,-219.4710785714251,0,42.86169130697759,-0.16609203957397062
1545264000,3660.01,4120,3635,4049.62,3604.077722386912,3872.776562929454,4716.021200000001,6221.003950000002,101543.835986,53189.61904330003,-72.34074285713973,0,54.12971579156737,-0.0608122500996209
1545350400,4051.86,4139.99,3764,3838.66,3650.9941779095293,3870.249410119865,4664.594400000001,6202.7622500000025,82343.850112,55064.807874850034,38.3038892857179,0,48.51854655844706,-0.11795867607454151
1545436800,3840.25,3979,3785,3948.91,3710.5773423276232,3876.0761204813566,4614.893000000002,6184.381800000003,42822.350872,55260.31767895003,165.81976071428926,0,51.35650206600722,-0.07504935212122144
1545523200,3948.91,4021.53,3870,3929.71,3754.4038738620984,3880.0490004457006,4565.745400000002,6165.736150000003,40117.531529,54811.47579725003,255.11829642857538,0,50.83098045101883,-0.05314073014682675
1545609600,3929.71,4198,3924.83,4008.01,3805.1250990896788,3889.5275930052785,4516.188600000001,6147.320800000003,64647.809129,55619.38867305002,363.0793464285748,0,52.94563896241961,-0.08043796245822162
1545696000,4010.11,4020,3646.41,3745.79,3793.258079271743,3878.8803638937766,4461.724600000002,6128.0325500000035,62725.629432,56555.430172250024,397.6719928571464,0,45.83604826667074,-0.0747439824991217
1545782400,3745.56,3837.15,3656.74,3777.74,3790.1544634173943,3871.3884850868303,4406.897200000001,6109.4626000000035,42629.375817,55267.95911595002,408.073735714289,0,46.77388853636658,-0.004164446710490919
1545868800,3777.74,3813.98,3535,3567.91,3745.7055707339155,3848.908597302621,4346.686200000001,6093.477200000003,44097.392912,52715.55588945001,364.9832964285746,0,41.6708139132837,-0.045340251400764704
1545955200,3567.89,3887.25,3540.04,3839.26,3764.4164565871324,3848.1938863913156,4293.874600000001,6078.313500000005,45964.304987,52245.47364135001,366.22671071428897,0,49.364438665154246,-0.03427152415518908
1546041600,3839,3892,3670,3695.32,3750.597165269706,3836.8698948067736,4239.381200000001,6064.140100000005,38874.373903,51891.347671700016,357.39600357143183,0,45.90547555389313,-0.06991082441511087
1546128000,3696.71,3903.5,3657.9,3801.91,3760.859732215765,3834.280272969235,4186.7584000000015,6051.685750000004,33222.369262,51503.003907150014,356.5602500000031,0,48.768271437023685,-0.045898829865845606
1546214400,3803.12,3810,3630.33,3702.9,3749.2677857726117,3824.5484008974395,4131.820200000001,6037.020350000005,29991.77835,51206.54961695002,325.5855821428602,0,46.316284932828225,-0.04198323244023475
1546300800,3701.23,3810.16,3642,3797.14,3758.8422286180894,3822.5181489791107,4078.7016000000017,6024.061550000005,23741.687033,50697.48740430002,315.74883571428876,0,48.947397904630506,-0.03392476696432904
1546387200,3796.45,3882.14,3750.45,3858.56,3778.7857828944716,3825.187915721399,4026.719600000002,6010.934450000005,35156.463369,50453.26472210002,295.5941214285743,0,50.64519426402031,0.009886917962260539
1546473600,3857.57,3862.74,3730,3766.78,3776.3846263155774,3820.8614034457396,3983.607000000002,5997.520300000005,29406.948359,49698.96294970003,242.9331035714315,0,48.07250466712554,0.014948071504685224
1546560000,3767.2,3823.64,3703.57,3792.01,3779.509701052462,3818.724262449759,3944.379200000002,5982.918050000005,29519.554671,49685.13861145002,183.45648571428856,0,48.841843956268995,0.03133181858810324
1546646400,3790.09,3840.99,3751,3770.96,3777.7997608419696,3815.186168934962,3906.6796000000027,5968.066800000005,30490.667751,49978.23157210003,110.71535357143154,0,48.200207579017956,0.01934556653399358
1546732800,3771.12,4027.71,3740,3987.6,3819.7598086735757,3827.9575638286688,3873.865800000002,5954.197250000005,36553.806709,48467.83432270003,87.60953928571722,0,54.78379048649038,0.0066116071856875775
1546819200,3987.62,4017.9,3921.53,3975.45,3850.8978469388603,3838.8829294709894,3840.1348000000016,5940.480300000005,31869.846264,46992.84587305003,65.84175000000289,0,54.36645280225407,-0.04128063456175416
1546905600,3976.76,4069.8,3903,3955.13,3871.744277551088,3847.4938235842496,3821.0368000000017,5930.030950000004,38901.423122,44231.04997845003,41.43529642857442,0,53.630617815919074,0.016973423998578575
1546992000,3955.45,4006.81,3930.04,3966.65,3890.7254220408704,3856.3202070224534,3809.192600000001,5919.114300000004,28989.439511,40603.33015470002,57.38597500000293,0,54.01064981591532,-0.07191352993928889
1547078400,3966.06,3996.01,3540,3585.88,3829.756337632696,3836.287599094864,3787.6888000000013,5906.358850000003,59402.22851,39456.249074600026,-12.57932857142552,0,41.81258788532229,-0.07122536001257664
1547164800,3585.88,3658,3465,3601.31,3784.0670701061567,3818.881851013763,3772.315000000001,5893.105400000004,38338.654733,39232.06426765003,-53.60671428571132,0,42.38048403301561,-0.08912113093788097
1547251200,3601.31,3618.19,3530,3583.13,3743.8796560849255,3801.4187509386693,3755.565400000001,5880.667150000005,21999.928354,38326.18410890002,-89.62206071428267,0,41.86207416563158,-0.07425635050377799
1547337600,3584.1,3611.1,3441.3,3476.81,3690.4657248679405,3777.3736582765455,3746.452800000001,5867.382550000005,26385.757454,36413.081525150024,-121.80208571428267,0,38.867726285291454,-0.06452566789694657
1547424000,3477.56,3671.87,3467.02,3626.09,3677.5905798943522,3766.1674613671717,3737.2590000000014,5856.243100000005,35235.211215,35038.560614300026,-142.36404999999706,0,44.8342625181153,0.00263818850794818
1547510400,3626.08,3648.42,3516.62,3553.06,3652.684463915482,3750.3817234881217,3731.076200000002,5843.018800000006,34137.997459,34613.99169640002,-169.33502142856852,0,42.641610611399166,-0.04039626473647453
1547596800,3553.06,3645,3543.51,3591.84,3640.5155711323855,3738.637892118631,3725.408800000002,5829.027650000006,27480.179977,33783.13104965002,-205.69756785713994,0,44.20212755256758,0.0065419186272375925
1547683200,3591.84,3634.7,3530.39,3616.21,3635.6544569059083,3729.5691593691026,3712.436000000001,5815.324650000006,29755.440838,32972.68784220003,-209.12478928571133,0,45.21091118119459,-0.014605463478509842
